
SYMMETRICAL COMPONENT VOLTAGES BY BUS (for 3-phase buses)

Bus                   Mag:   V1 (kV)    p.u.     V2 (kV)   %V2/V1    V0 (kV)    %V0/V1

sourcebus                69.72       1.05  6.983E-007  1.002E-006 1.282E-006 1.839E-006
m1126023                 6.916     0.9606          0          0         0         0
m1026906                 6.362     0.8837          0          0         0         0
m1209824                  7.43      1.032          0          0         0         0
m1209828                  7.42      1.031          0          0         0         0
l3195315                 6.952     0.9657          0          0         0         0
m1069590                 6.737     0.9358          0          0         0         0
m1069595                 6.731     0.9349          0          0         0         0
m1027004                 6.221      0.864          0          0         0         0
l2897765                 6.218     0.8636          0          0         0         0
m1047314                   6.8     0.9445          0          0         0         0
n1137961                   6.8     0.9445          0          0         0         0
l2876814                 6.572     0.9129     0.1596      2.428    0.2929     4.456
m1026834                 6.569     0.9125     0.1604      2.442    0.2938     4.472
m1008743                 6.458      0.897          0          0         0         0
m1008742                 6.457     0.8969          0          0         0         0
p827525                  6.604     0.9173     0.1528      2.314    0.2834     4.291
m1026902                 6.601     0.9168     0.1532      2.322    0.2847     4.312
n1144663                 6.943     0.9644     0.1054      1.518    0.2014     2.901
m1089215                 6.941     0.9641     0.1057      1.523    0.2023     2.914
m1069467                 6.384     0.8867          0          0         0         0
m1047324                 6.815     0.9466    0.06871      1.008     0.111     1.628
l2897780                  6.81     0.9458    0.06994      1.027    0.1121     1.646
m1069411                 6.568     0.9123     0.1223      1.862     0.236     3.593
l2711226                  7.22      1.003    0.02422     0.3355   0.05477    0.7586
l3101789                 6.251     0.8683          0          0         0         0
l2841616                 6.376     0.8856          0          0         0         0
m1089170                 7.076     0.9828          0          0         0         0
l2879062                  7.07      0.982          0          0         0         0
n1139545                 6.991      0.971          0          0         0         0
m1069174                 6.987     0.9705          0          0         0         0
n1140517                 6.859     0.9527          0          0         0         0
l3157718                 6.859     0.9527          0          0         0         0
l2727008                 6.726     0.9343          0          0         0         0
m1069629                  6.72     0.9334          0          0         0         0
l2691944                 6.247     0.8676          0          0         0         0
n1230121                 7.225      1.004          0          0         0         0
m1069533                  6.91     0.9597      0.111      1.606    0.2296     3.323
n1136356                  6.91     0.9597      0.111      1.607    0.2293     3.319
m1142865                 7.319      1.017    0.04168     0.5695   0.05218     0.713
m1047526                 6.722     0.9336     0.1316      1.957    0.2413     3.591
n1136666                 6.721     0.9335     0.1317      1.959    0.2416     3.595
l2804253                  6.95     0.9654          0          0         0         0
m1209790                 7.485       1.04    0.01446     0.1932   0.02131    0.2847
m1209788                 7.481      1.039    0.01511      0.202   0.02182    0.2916
p850400                  6.882     0.9558          0          0         0         0
l3029500                 6.243     0.8671          0          0         0         0
m1026764                 6.243     0.8671          0          0         0         0
m1108375                  7.35      1.021          0          0         0         0
m1069217                 6.953     0.9658          0          0         0         0
l2954350                 6.953     0.9657          0          0         0         0
l2802481                 7.059     0.9804          0          0         0         0
l3214549                 7.058     0.9804          0          0         0         0
l2851933                 6.576     0.9133     0.1311      1.994    0.2483     3.777
l3207907                 6.576     0.9133     0.1311      1.994    0.2484     3.777
l2841619                 7.059     0.9804          0          0         0         0
m1108380                 7.164     0.9951    0.06974     0.9734    0.1122     1.566
p904452                  7.083     0.9838          0          0         0         0
n1136995                 7.041      0.978          0          0         0         0
m1047613                 7.041      0.978          0          0         0         0
221_306687                6.66      0.925          0          0         0         0
l2916625                 6.659     0.9249          0          0         0         0
m1009724                 6.249      0.868          0          0         0         0
m1009720                 6.248     0.8678          0          0         0         0
l2822862                  7.11     0.9875          0          0         0         0
d6019477_1_int           6.919     0.9611          0          0         0         0
e182727                  6.919     0.9611          0          0         0         0
m1027043                  6.53     0.9071     0.1526      2.338    0.2889     4.424
m1026948                 6.477     0.8996          0          0         0         0
m1026949                 6.477     0.8996          0          0         0         0
m1089131                 7.018     0.9748     0.0263     0.3748   0.08574     1.222
l3270854                 7.071     0.9821          0          0         0         0
m1209763                 7.411      1.029          0          0         0         0
l3176661                 7.351      1.021          0          0         0         0
l2970804                  7.35      1.021          0          0         0         0
p827504                  6.391     0.8877          0          0         0         0
n1137957                 6.391     0.8877          0          0         0         0
l2936275                  7.41      1.029          0          0         0         0
l2766722                 6.344     0.8812          0          0         0         0
l3142079                 7.126     0.9898          0          0         0         0
m3036162                 7.126     0.9898          0          0         0         0
m1026724                 6.595     0.9161     0.1309      1.985    0.2464     3.737
r18243                   6.595      0.916     0.1309      1.985    0.2465     3.738
l2710504                 6.199      0.861          0          0         0         0
m1142860                 7.329      1.018    0.04011     0.5474   0.04965    0.6774
p895114                  7.301      1.014          0          0         0         0
l3197652                 6.707     0.9316          0          0         0         0
p827575                  6.922     0.9614          0          0         0         0
m1069437                 6.922     0.9614          0          0         0         0
m1069620                  6.73     0.9348          0          0         0         0
l3270814                 6.352     0.8823          0          0         0         0
m1026378                 6.726     0.9342          0          0         0         0
l2897778                 6.725      0.934          0          0         0         0
m1069532                 6.799     0.9443          0          0         0         0
l2785534                 6.799     0.9443          0          0         0         0
m1069147                 6.977      0.969          0          0         0         0
l3066801                 6.977      0.969          0          0         0         0
m1069556                  6.91     0.9597     0.1111      1.607    0.2292     3.317
p901932                  7.225      1.003          0          0         0         0
l2691967                 6.858     0.9526     0.1182      1.723    0.2251     3.282
m1069504                 6.852     0.9517     0.1189      1.735    0.2259     3.296
m1166393                 7.374      1.024          0          0         0         0
m1166395                 7.373      1.024          0          0         0         0
l2766718                 6.906     0.9592    0.04011     0.5808   0.08891     1.288
l3048206                 6.899     0.9583    0.04235     0.6138   0.09037      1.31
m1047821                 6.214     0.8632          0          0         0         0
l2684420                 6.214     0.8631          0          0         0         0
p850080                  7.155     0.9939     0.0701     0.9797    0.1128     1.576
221_311905               7.155     0.9939     0.0701     0.9797    0.1128     1.576
m1089204                 6.829     0.9486          0          0         0         0
l3157167                 6.829     0.9485          0          0         0         0
m1186072                 7.453      1.035    0.01949     0.2615   0.02573    0.3453
m1186067                  7.45      1.035    0.01998     0.2681   0.02625    0.3523
m1047432                 6.235      0.866          0          0         0         0
l2879075                 6.235      0.866          0          0         0         0
m3037537                 6.403     0.8894          0          0         0         0
l3231269                 6.403     0.8894          0          0         0         0
r42247                    7.37      1.024    0.03492     0.4739   0.04227    0.5735
m1149233                 7.366      1.023    0.03537     0.4802   0.04297    0.5834
m1108266                 6.868     0.9539          0          0         0         0
m1108265                 6.867     0.9538          0          0         0         0
m1069543                 6.768     0.9401          0          0         0         0
m1069535                 6.768       0.94          0          0         0         0
m1126017                 6.916     0.9606          0          0         0         0
m1047711                 6.657     0.9247          0          0         0         0
m1047718                 6.657     0.9246          0          0         0         0
m1069136                 6.857     0.9524    0.05807      0.847    0.1041     1.519
m1009771                 6.454     0.8964          0          0         0         0
l2914323                 6.453     0.8964          0          0         0         0
m1069218                 6.947     0.9649          0          0         0         0
l2954351                 6.947     0.9649          0          0         0         0
m1026744                 6.603     0.9172     0.1305      1.976     0.245     3.711
m1008752                  6.46     0.8973          0          0         0         0
m1008746                 6.458     0.8971          0          0         0         0
m1069457                 6.592     0.9156     0.1235      1.873    0.2319     3.518
e182745                  6.381     0.8863          0          0         0         0
n1139546                 6.888     0.9568          0          0         0         0
m1026363                 6.949     0.9652          0          0         0         0
l2897779                 6.949     0.9651          0          0         0         0
l2841626                 6.953     0.9658          0          0         0         0
l2711234                 7.111     0.9877          0          0         0         0
l2973178                  6.46     0.8973          0          0         0         0
m1149236                 7.375      1.024    0.03403     0.4614   0.04093    0.5549
p829974                  7.358      1.022          0          0         0         0
l3160862                 7.398      1.028          0          0         0         0
l3104850                 7.397      1.027          0          0         0         0
l2748130                 6.685     0.9286          0          0         0         0
l3083019                 6.209     0.8625          0          0         0         0
m1027080                 6.208     0.8623          0          0         0         0
l3085389                  6.46     0.8973          0          0         0         0
l2729405                 6.866     0.9537          0          0         0         0
p828362                  6.693     0.9296     0.1373      2.052    0.2505     3.743
n1136671                 6.692     0.9295     0.1374      2.053    0.2506     3.745
p901941                  7.219      1.003          0          0         0         0
l3251799                 7.219      1.003          0          0         0         0
m1026308                 6.471     0.8988          0          0         0         0
l2897764                 6.471     0.8988          0          0         0         0
m1009840                 6.405     0.8897          0          0         0         0
l2991901                 6.405     0.8896          0          0         0         0
n1134470                 6.198     0.8609          0          0         0         0
l3251808                 6.195     0.8605          0          0         0         0
l3139086                 6.334     0.8797          0          0         0         0
n1137992                 6.658     0.9248     0.1294      1.944    0.2374     3.566
196_29520                6.658     0.9248     0.1294      1.944    0.2374     3.566
l3029501                 6.398     0.8887          0          0         0         0
m3036165                 6.392     0.8879          0          0         0         0
m1026857                 6.374     0.8853          0          0         0         0
m1026859                 6.374     0.8853          0          0         0         0
m1108311                 7.196     0.9995    0.02125     0.2953   0.08061      1.12
l2898526                 7.226      1.004          0          0         0         0
l3048965                 7.355      1.022    0.03647     0.4958   0.04471    0.6079
l3216123                  6.65     0.9237     0.1553      2.335    0.2721     4.092
n1136996                 6.645      0.923     0.1579      2.377    0.2755     4.145
m1069202                  6.97     0.9682          0          0         0         0
l2879073                 6.965     0.9675          0          0         0         0
m1089093                 6.978     0.9693          0          0         0         0
m1047786                 6.237     0.8664          0          0         0         0
l3048207                 6.235      0.866          0          0         0         0
l3160868                 7.141     0.9919          0          0         0         0
l3082988                 7.141     0.9919          0          0         0         0
l2936211                 7.374      1.024          0          0         0         0
n1140525                 7.031     0.9766          0          0         0         0
l3645809                 7.031     0.9765          0          0         0         0
p829962                  7.415       1.03          0          0         0         0
m1142835                 7.415       1.03          0          0         0         0
l3125349                 6.562     0.9114     0.1203      1.833    0.2327     3.547
n1138604                 6.561     0.9113     0.1198      1.827    0.2315     3.528
d5710794_3_int           7.541      1.047   0.006616    0.08773   0.01266    0.1678
e192860                   7.54      1.047   0.006622    0.08782   0.01267     0.168
l3254216                 6.215     0.8633          0          0         0         0
l2785511                 6.829     0.9485          0          0         0         0
l2897784                  6.64     0.9222          0          0         0         0
m1026496                 6.639     0.9222          0          0         0         0
p859135                  6.388     0.8873          0          0         0         0
m1027002                 6.542     0.9086     0.1536      2.349      0.29     4.433
l2673313                 6.539     0.9083     0.1535      2.347    0.2899     4.434
m1047725                 6.358     0.8832          0          0         0         0
m1047728                 6.358     0.8831          0          0         0         0
m1047300                 6.776     0.9412    0.07834      1.156    0.1235     1.823
m1047299                 6.774     0.9409    0.07927       1.17    0.1248     1.843
l3122835                 6.737     0.9357          0          0         0         0
l3234185                 6.196     0.8606          0          0         0         0
l3065750                 6.195     0.8605          0          0         0         0
l2991943                 6.944     0.9645          0          0         0         0
l2952013                 6.346     0.8815          0          0         0         0
m1026701                 6.572     0.9129      0.131      1.993     0.248     3.774
m1026697                 6.572     0.9128     0.1309      1.992    0.2479     3.772
m1069730                 6.197     0.8607          0          0         0         0
l3159037                 6.196     0.8607          0          0         0         0
m1142833                 7.415       1.03          0          0         0         0
p901913                  7.003     0.9727          0          0         0         0
n1140823                 6.576     0.9134     0.1311      1.994    0.2483     3.776
m1027066                 6.898     0.9581          0          0         0         0
l2841645                 6.898     0.9581          0          0         0         0
m1125959                 7.371      1.024          0          0         0         0
m1125974                 7.371      1.024          0          0         0         0
m1069191                 6.954     0.9659          0          0         0         0
m1108258                 6.861      0.953          0          0         0         0
p829976                  7.329      1.018          0          0         0         0
l2955078                 7.329      1.018          0          0         0         0
n1147867                  7.06     0.9806          0          0         0         0
d5837361_8_int            7.06     0.9806          0          0         0         0
m1026792                 6.336       0.88          0          0         0         0
l2821010                 6.335     0.8799          0          0         0         0
m1125976                  7.21      1.001    0.05936     0.8233   0.09084      1.26
n1142112                 6.862     0.9531          0          0         0         0
p827496                  6.862     0.9531          0          0         0         0
221_240988               6.873     0.9546          0          0         0         0
l3141411                 6.873     0.9546          0          0         0         0
p829956                  7.401      1.028          0          0         0         0
d5535139_1_int           7.168     0.9957    0.06726     0.9383    0.1084     1.513
e183473                  7.168     0.9956    0.06729     0.9388    0.1084     1.513
m1125997                 7.169     0.9957    0.06721     0.9376    0.1083     1.511
m1047518                  6.61     0.9181          0          0         0         0
l2973160                  6.61     0.9181          0          0         0         0
n1134471                 6.208     0.8623          0          0         0         0
m1009838                  6.41     0.8903          0          0         0         0
l2801896                 6.409     0.8902          0          0         0         0
p827520                  6.991      0.971          0          0         0         0
m1009784                 6.559     0.9111     0.1623      2.474    0.2985      4.55
m1009770                 6.559      0.911     0.1625      2.478     0.299     4.559
n1136669                   6.7     0.9307     0.1349      2.013    0.2482     3.704
l3103822                 6.697     0.9302     0.1354      2.021    0.2487     3.713
m3768670                 6.672     0.9267     0.1408       2.11    0.2566     3.846
p1123251                 6.404     0.8895          0          0         0         0
n1136994                 7.033     0.9769          0          0         0         0
l2729428                 6.254     0.8687          0          0         0         0
m1026926                 6.587     0.9149     0.1544      2.344    0.2887     4.383
n1138000                 6.291     0.8738          0          0         0         0
221_242079               7.446      1.034    0.02047     0.2749   0.02759    0.3706
l3011293                 7.446      1.034    0.02047     0.2749   0.02759    0.3706
m1026777                 6.334     0.8798          0          0         0         0
l3233353                 6.334     0.8798          0          0         0         0
l3029506                  6.61     0.9181          0          0         0         0
l3010559                 6.363     0.8839          0          0         0         0
m1069213                 6.956     0.9662          0          0         0         0
l3178977                 6.956     0.9662          0          0         0         0
m1108534                 7.015     0.9744     0.0931      1.327     0.167      2.38
p901934                  6.859     0.9527          0          0         0         0
p829796                  7.273       1.01          0          0         0         0
n1142107                 7.272       1.01          0          0         0         0
l2691965                 6.799     0.9443          0          0         0         0
l2785538                 6.662     0.9253          0          0         0         0
n1139259                 6.922     0.9614          0          0         0         0
l2710543                 6.921     0.9614          0          0         0         0
q1301                    7.335      1.019    0.03914     0.5336   0.04827    0.6581
l3160872                 7.334      1.019    0.03933     0.5363   0.04853    0.6618
p827509                  6.266     0.8703          0          0         0         0
m1047793                  6.24     0.8667          0          0         0         0
p827555                  6.239     0.8666          0          0         0         0
l2879069                 6.327     0.8787          0          0         0         0
l2955006                 7.267      1.009          0          0         0         0
l2692600                 7.267      1.009          0          0         0         0
l3029505                  7.09     0.9848          0          0         0         0
l2673318                  7.09     0.9848          0          0         0         0
m1026682                 6.265     0.8703          0          0         0         0
m1047424                  6.39     0.8876          0          0         0         0
l2691949                  6.39     0.8876          0          0         0         0
m1026699                 6.323     0.8783          0          0         0         0
l3085403                 6.266     0.8703          0          0         0         0
m4113345                 7.003     0.9727          0          0         0         0
l3235255                 6.807     0.9455    0.07049      1.035    0.1126     1.654
m1047316                 6.804     0.9451    0.07113      1.045    0.1131     1.663
m1026886                 6.627     0.9205     0.1493      2.253    0.2742     4.137
l3120484                 6.608     0.9178     0.1522      2.303    0.2818     4.264
l2879078                 6.571     0.9127     0.1307      1.988    0.2472     3.762
m1026681                 6.571     0.9126     0.1305      1.986    0.2469     3.758
l3232902                 7.154     0.9936    0.06985     0.9764    0.1134     1.585
l3123509                 7.446      1.034    0.02047     0.2749    0.0276    0.3707
m1209772                 7.446      1.034    0.02047     0.2749    0.0276    0.3707
r20703                   7.168     0.9956    0.06738       0.94    0.1086     1.515
l2859403                 7.164     0.9951    0.06795     0.9485    0.1097     1.531
m1026927                 6.586     0.9148     0.1544      2.344    0.2887     4.384
m1125914                 7.206      1.001    0.02233     0.3099    0.0685    0.9506
l2917328                 7.206      1.001    0.02224     0.3086   0.06936    0.9626
l2841635                 6.652     0.9239     0.1291      1.942    0.2383     3.582
l2766499                 7.039     0.9776          0          0         0         0
m1047444                 6.358     0.8831          0          0         0         0
m1108459                 7.074     0.9825          0          0         0         0
l2802480                 7.073     0.9824          0          0         0         0
l2691954                 6.763     0.9394    0.08368      1.237     0.131     1.937
l3122849                 6.761     0.9391    0.08471      1.253    0.1324     1.959
l2764411                 7.352      1.021          0          0         0         0
m1026907                 6.594     0.9158     0.1542      2.338    0.2875      4.36
l2729206                 7.041      0.978          0          0         0         0
l2804957                 7.351      1.021          0          0         0         0
l3048937                 7.351      1.021          0          0         0         0
l2822872                 6.646     0.9231     0.1292      1.944    0.2364     3.558
l3235946                 6.924     0.9618          0          0         0         0
m1126005                 6.921     0.9613          0          0         0         0
m1009698                 6.245     0.8674          0          0         0         0
l3156034                 6.244     0.8673          0          0         0         0
l3254205                 6.942     0.9643          0          0         0         0
l3197647                 6.335       0.88          0          0         0         0
m1026778                 6.335       0.88          0          0         0         0
m1026844                 6.572     0.9129     0.1595      2.427    0.2929     4.456
n1147861                 6.979     0.9694          0          0         0         0
l2973833                 7.401      1.028    0.02927     0.3954   0.03437    0.4644
m1166373                 7.399      1.028    0.02978     0.4025   0.03486    0.4711
l2991902                 6.468     0.8983          0          0         0         0
m1008758                 6.465     0.8979          0          0         0         0
m1026734                  6.24     0.8668          0          0         0         0
l3065696                  6.24     0.8668          0          0         0         0
l2748780                 6.919      0.961          0          0         0         0
m1125987                 7.196     0.9995    0.06205     0.8623   0.09691     1.347
p901945                  7.196     0.9995    0.06205     0.8623   0.09691     1.347
p901910                  6.433     0.8935          0          0         0         0
l3027122                 6.931     0.9628          0          0         0         0
m1108506                 6.931     0.9627          0          0         0         0
l2841637                 6.943     0.9644          0          0         0         0
n1139539                 6.873     0.9546          0          0         0         0
l2710520                 6.872     0.9545          0          0         0         0
m1089119                 6.987     0.9705    0.02675     0.3829   0.08793     1.258
p827521                  6.888     0.9568          0          0         0         0
l3046854                 6.338     0.8803          0          0         0         0
m1047478                 6.945     0.9647          0          0         0         0
l2766716                 6.945     0.9646          0          0         0         0
n1137003                 6.383     0.8866          0          0         0         0
l2973171                 6.746      0.937          0          0         0         0
l3085392                 7.075     0.9828          0          0         0         0
p875742                  6.499     0.9027          0          0         0         0
m1010008                 6.178     0.8581          0          0         0         0
l3784018                 6.566      0.912     0.2078      3.164    0.3416     5.203
m1026703                 6.886     0.9565          0          0         0         0
l2973166                 6.886     0.9565          0          0         0         0
l3068944                 7.129     0.9902          0          0         0         0
m1047550                 6.776     0.9412      0.126       1.86     0.234     3.453
l2936270                  7.49       1.04          0          0         0         0
l3086078                 7.489       1.04          0          0         0         0
m1047593                  6.69     0.9292     0.1382      2.065    0.2514     3.758
m1047615                 6.682     0.9281     0.1404      2.102    0.2536     3.796
m1009855                 6.408     0.8901          0          0         0         0
l2748139                 6.408       0.89          0          0         0         0
n1140832                 6.876     0.9551          0          0         0         0
l2841631                 6.876     0.9551          0          0         0         0
m1047819                 6.216     0.8633          0          0         0         0
l2916610                 6.566      0.912          0          0         0         0
l2879076                 6.981     0.9697          0          0         0         0
m1089122                  6.98     0.9695          0          0         0         0
l2691939                 6.424     0.8922          0          0         0         0
m1069489                 6.926     0.9621          0          0         0         0
l2933120                 6.926      0.962          0          0         0         0
m1069225                 6.947     0.9649          0          0         0         0
m1089120                 6.994     0.9715    0.02665     0.3811   0.08737     1.249
l3645810                 7.029     0.9763          0          0         0         0
m3763623                 7.029     0.9763          0          0         0         0
l3649304                 6.399     0.8889          0          0         0         0
m1027042                 6.919      0.961          0          0         0         0
l3178969                 6.413     0.8907          0          0         0         0
l2729401                 6.413     0.8907          0          0         0         0
l3235249                 6.357     0.8829          0          0         0         0
l2954348                 6.355     0.8827          0          0         0         0
l3066812                 6.327     0.8788          0          0         0         0
l2841622                 6.326     0.8787          0          0         0         0
m1209787                 7.473      1.038    0.01631     0.2183   0.02279    0.3049
l2823611                 7.464      1.037    0.01775     0.2377   0.02402    0.3218
196_35541                7.223      1.003          0          0         0         0
m1108317                 7.215      1.002          0          0         0         0
m1047340                 6.844     0.9506          0          0         0         0
l2991923                 6.844     0.9506          0          0         0         0
m1026661                 6.265     0.8701          0          0         0         0
p827530                  6.265     0.8701          0          0         0         0
p827503                  6.939     0.9638          0          0         0         0
n1147865                 6.215     0.8632          0          0         0         0
l2895489                 6.215     0.8632          0          0         0         0
l2730163                 7.211      1.002     0.0231     0.3203   0.06285    0.8716
m1089103                 6.877     0.9551          0          0         0         0
l3048196                 6.875      0.955          0          0         0         0
l2673306                  7.06     0.9806          0          0         0         0
l2726973                  6.64     0.9222     0.1287      1.939    0.2355     3.547
m1047485                 6.637     0.9218     0.1283      1.933    0.2348     3.539
l2991640                 7.095     0.9855          0          0         0         0
m1089160                 7.095     0.9855          0          0         0         0
l3160101                 6.363     0.8839          0          0         0         0
m1125905                 7.127     0.9899          0          0         0         0
m1026950                 6.567     0.9122     0.1546      2.355    0.2913     4.436
m1026954                 6.564     0.9118     0.1547      2.357    0.2918     4.446
m1047558                 6.784     0.9423     0.1253      1.847    0.2331     3.437
n1136659                 6.553     0.9102          0          0         0         0
l2766741                 6.566      0.912     0.1221       1.86    0.2363     3.599
m1069564                 6.909     0.9597     0.1111      1.608    0.2292     3.317
n1136361                 6.708     0.9317          0          0         0         0
m1047566                 6.797     0.9441     0.1241      1.826    0.2318     3.411
n1137995                 6.569     0.9124          0          0         0         0
n1145955                 6.738     0.9359          0          0         0         0
m1069461                 6.596     0.9162     0.1238      1.878    0.2317     3.513
p827574                  6.382     0.8865          0          0         0         0
m1069156                 6.895     0.9577    0.04379     0.6352   0.09146     1.326
l3195356                 6.945     0.9647    0.02741     0.3946   0.08861     1.276
n1137996                 7.109     0.9874          0          0         0         0
l3178979                 7.109     0.9874          0          0         0         0
l3254231                 6.661     0.9252          0          0         0         0
l3728042                 6.389     0.8873          0          0         0         0
l3728043                 6.388     0.8873          0          0         0         0
m1047723                 6.656     0.9246          0          0         0         0
m1047729                 6.656     0.9245          0          0         0         0
l2895461                 6.336       0.88          0          0         0         0
l3029518                  6.46     0.8973          0          0         0         0
l2897807                  6.46     0.8972          0          0         0         0
l2785520                  6.67     0.9264          0          0         0         0
n1139542                 6.985     0.9702          0          0         0         0
221_308718               7.158     0.9942    0.07004     0.9785    0.1126     1.573
m1209750                 7.408      1.029          0          0         0         0
l3254869                 7.146     0.9926          0          0         0         0
l2798067                 7.146     0.9926          0          0         0         0
m1047403                 6.215     0.8633          0          0         0         0
m1047404                 6.215     0.8633          0          0         0         0
l3102793                  6.73     0.9347          0          0         0         0
m1089141                  7.05     0.9792    0.02564     0.3637   0.08383     1.189
n1139547                 7.118     0.9886    0.02347     0.3297   0.08245     1.158
l2688693                 7.106      0.987    0.02384     0.3355   0.08264     1.163
l3048222                 6.972     0.9683          0          0         0         0
l3104117                 6.925     0.9618          0          0         0         0
221_311583                6.37     0.8847          0          0         0         0
n1139250                  6.37     0.8847          0          0         0         0
l2690187                 7.079     0.9832          0          0         0         0
m1108412                 7.077      0.983          0          0         0         0
m1026690                 6.571     0.9128     0.1309      1.991    0.2477     3.769
p873801                  6.887     0.9566          0          0         0         0
m1089138                 7.101     0.9863          0          0         0         0
l2841628                 7.101     0.9863          0          0         0         0
m1069364                  6.89      0.957          0          0         0         0
l2689678                 6.649     0.9236          0          0         0         0
m1026463                 6.642     0.9226          0          0         0         0
l2692655                 7.336      1.019    0.03569     0.4865   0.04979    0.6787
m1142821                 7.335      1.019    0.03559     0.4852   0.05033    0.6862
p827508                   6.96     0.9668          0          0         0         0
n1144667                 6.213      0.863          0          0         0         0
m1089162                 7.096     0.9856          0          0         0         0
l3029520                 6.333     0.8797          0          0         0         0
m1009655                 6.873     0.9547          0          0         0         0
p827528                  6.873     0.9547          0          0         0         0
l2991906                 7.115     0.9882          0          0         0         0
m1027056                 6.214     0.8632          0          0         0         0
l3066814                 6.916     0.9606     0.1102      1.594    0.2157     3.119
m1108398                 7.155     0.9938    0.07011     0.9798    0.1128     1.577
m1108483                 6.981     0.9697          0          0         0         0
m1108486                 6.981     0.9697          0          0         0         0
m1026341                 6.749     0.9374    0.09096      1.348    0.1407     2.085
p827531                  6.739      0.936          0          0         0         0
l2748133                 6.947     0.9649          0          0         0         0
l3085399                 6.946     0.9648          0          0         0         0
l2767342                 6.919     0.9611          0          0         0         0
m1125944                 7.269       1.01    0.04937     0.6791   0.06732    0.9261
m1125947                 7.255      1.008    0.05171     0.7128   0.07259     1.001
l2710511                 6.394     0.8882          0          0         0         0
l2766719                 6.394     0.8881          0          0         0         0
p827549                  6.616     0.9189          0          0         0         0
n1140518                 6.616     0.9189          0          0         0         0
l2766728                 6.958     0.9665          0          0         0         0
m1069462                 6.485     0.9007          0          0         0         0
l3216342                 6.485     0.9007          0          0         0         0
m1027041                 6.917     0.9607          0          0         0         0
l2916607                 6.917     0.9607          0          0         0         0
l2710513                 6.205     0.8619          0          0         0         0
m1009839                 6.408       0.89          0          0         0         0
l2973165                 6.374     0.8853          0          0         0         0
m1108501                 6.929     0.9624          0          0         0         0
m1108499                 6.928     0.9622          0          0         0         0
m1069227                 6.947     0.9649          0          0         0         0
l2785546                 6.342     0.8809          0          0         0         0
m1026810                 6.341     0.8807          0          0         0         0
m1108368                  7.08     0.9834          0          0         0         0
l3085393                  7.08     0.9834          0          0         0         0
l3178974                 6.206     0.8619          0          0         0         0
m1026774                 6.621     0.9197     0.1297      1.959     0.242     3.654
m1026769                 6.615     0.9188       0.13      1.965    0.2431     3.675
l3189189                 6.567     0.9122          0          0         0         0
l2821770                 6.369     0.8847          0          0         0         0
m1069555                 6.767     0.9399          0          0         0         0
l3252336                 7.072     0.9823          0          0         0         0
p829977                  7.445      1.034    0.02052     0.2757   0.02743    0.3684
l2820556                 6.221     0.8641          0          0         0         0
m1047410                 6.221      0.864          0          0         0         0
m1027001                 6.223     0.8643          0          0         0         0
m1047344                 6.794     0.9437          0          0         0         0
l3029499                 6.794     0.9437          0          0         0         0
221_282818               7.083     0.9838          0          0         0         0
m1026830                 6.682     0.9281     0.1381      2.066    0.2521     3.772
p827511                  7.031     0.9766          0          0         0         0
p895105                  7.101     0.9863          0          0         0         0
n1142110                 7.101     0.9863          0          0         0         0
n1142111                 7.118     0.9886          0          0         0         0
l2991912                 7.117     0.9886          0          0         0         0
l3010569                 6.796     0.9439          0          0         0         0
m1047335                 6.795     0.9438          0          0         0         0
l3216368                 6.574     0.9132     0.1309      1.991    0.2482     3.775
l2879081                 6.266     0.8703          0          0         0         0
l3104144                 6.708     0.9317          0          0         0         0
l2916619                 6.729     0.9347          0          0         0         0
m1126031                 7.264      1.009          0          0         0         0
l3179608                 7.264      1.009          0          0         0         0
l2990098                 7.061     0.9808          0          0         0         0
m1108462                 7.061     0.9808          0          0         0         0
l2673326                 6.407     0.8898          0          0         0         0
m1142815                 7.215      1.002    0.02472     0.3426   0.05669    0.7857
n1141477                  7.24      1.006          0          0         0         0
n1139252                 6.433     0.8935          0          0         0         0
l3122812                 6.433     0.8935          0          0         0         0
m1166386                 7.461      1.036          0          0         0         0
m1089163                 7.095     0.9855          0          0         0         0
n1142100                 7.093     0.9852    0.08057      1.136    0.1353     1.908
m1069456                  7.06     0.9806          0          0         0         0
l2897806                  7.06     0.9806          0          0         0         0
l2822865                 7.152     0.9934          0          0         0         0
l3195321                 6.917     0.9608          0          0         0         0
l3197646                 6.645      0.923     0.1469       2.21    0.2681     4.035
m1026829                 6.567     0.9122      0.161      2.452    0.2945     4.484
n1147859                 6.452     0.8962          0          0         0         0
l3139121                 6.772     0.9406    0.07997      1.181    0.1258     1.858
l2763153                 6.769     0.9402    0.08114      1.199    0.1274     1.882
