
-------------------
Convergence Report:
-------------------
"Bus.Node", "Error", "|V|","Vbase"
"m1108492.1"       ,    0.00006,  6.75331E+0003,  7.19956E+0003
"l3226771.1"       ,    0.00010,  7.08978E+0003,  7.19956E+0003
"l3189190.1"       ,    0.00010,  7.08949E+0003,  7.19956E+0003
"l2991918.2"       ,    0.00003,  6.96168E+0003,  7.19956E+0003
"l2954339.2"       ,    0.00003,  6.94740E+0003,  7.19956E+0003
"l3048200.2"       ,    0.00003,  6.94673E+0003,  7.19956E+0003
"l3160861.3"       ,    0.00001,  7.47293E+0003,  7.19956E+0003
"n1142098.1"       ,    0.00005,  6.77505E+0003,  7.19956E+0003
"m1047795.2"       ,    0.00006,  7.55708E+0003,  7.19956E+0003
"m1047552.2"       ,    0.00006,  7.80479E+0003,  7.19956E+0003
"l2804283.1"       ,    0.00005,  7.18771E+0003,  7.19956E+0003
"l2916627.1"       ,    0.00005,  7.18679E+0003,  7.19956E+0003
"l3029498.1"       ,    0.00004,  6.99503E+0003,  7.19956E+0003
"l3029498.2"       ,    0.00002,  7.04323E+0003,  7.19956E+0003
"l3029498.3"       ,    0.00001,  7.33374E+0003,  7.19956E+0003
"m1047773.2"       ,    0.00006,  7.56836E+0003,  7.19956E+0003
"l2973152.2"       ,    0.00006,  7.56495E+0003,  7.19956E+0003
"l2822870.3"       ,    0.00001,  7.44908E+0003,  7.19956E+0003
"m1166369.1"       ,    0.00003,  7.22508E+0003,  7.19956E+0003
"l2839305.1"       ,    0.00003,  7.22472E+0003,  7.19956E+0003
"l2710508.2"       ,    0.00006,  7.52405E+0003,  7.19956E+0003
"m3763624.1"       ,    0.00010,  7.26208E+0003,  7.19956E+0003
"m3763624.2"       ,    0.00006,  7.79413E+0003,  7.19956E+0003
"m3763618.1"       ,    0.00010,  7.26209E+0003,  7.19956E+0003
"m3763618.2"       ,    0.00006,  7.79412E+0003,  7.19956E+0003
"m1026861.1"       ,    0.00010,  7.22129E+0003,  7.19956E+0003
"m1026861.2"       ,    0.00006,  7.78130E+0003,  7.19956E+0003
"m1026861.3"       ,    0.00001,  7.51198E+0003,  7.19956E+0003
"m1026858.1"       ,    0.00010,  7.20842E+0003,  7.19956E+0003
"m1026858.2"       ,    0.00006,  7.77646E+0003,  7.19956E+0003
"m1026858.3"       ,    0.00001,  7.50860E+0003,  7.19956E+0003
"l3082992.1"       ,    0.00010,  7.02988E+0003,  7.19956E+0003
"m1010011.1"       ,    0.00011,  7.00609E+0003,  7.19956E+0003
"l3214069.1"       ,    0.00005,  6.95075E+0003,  7.19956E+0003
"l3214069.2"       ,    0.00002,  7.14801E+0003,  7.19956E+0003
"l3214069.3"       ,    0.00001,  7.47112E+0003,  7.19956E+0003
"m1026655.3"       ,    0.00001,  7.36792E+0003,  7.19956E+0003
"n1141475.3"       ,    0.00001,  7.36786E+0003,  7.19956E+0003
"l3197643.2"       ,    0.00003,  7.02667E+0003,  7.19956E+0003
"m1026339.2"       ,    0.00003,  7.02650E+0003,  7.19956E+0003
"m1108268.2"       ,    0.00003,  7.39146E+0003,  7.19956E+0003
"m1069311.1"       ,    0.00010,  7.20223E+0003,  7.19956E+0003
"m1069311.2"       ,    0.00006,  7.60826E+0003,  7.19956E+0003
"m1069310.1"       ,    0.00010,  7.20223E+0003,  7.19956E+0003
"m1069310.2"       ,    0.00006,  7.60826E+0003,  7.19956E+0003
"m1069310.3"       ,    0.00001,  7.38435E+0003,  7.19956E+0003
"m1047423.1"       ,    0.00010,  7.03644E+0003,  7.19956E+0003
"m1047420.1"       ,    0.00010,  7.03537E+0003,  7.19956E+0003
"m1069613.2"       ,    0.00005,  7.26018E+0003,  7.19956E+0003
"m1026823.1"       ,    0.00010,  7.17204E+0003,  7.19956E+0003
"l2879087.1"       ,    0.00010,  7.17197E+0003,  7.19956E+0003
"d5806920-1_int.2" ,    0.00006,  7.68953E+0003,  7.19956E+0003
"m1027039.2"       ,    0.00006,  7.68956E+0003,  7.19956E+0003
"l3552667.3"       ,    0.00001,  7.47192E+0003,  7.19956E+0003
"m1026890.1"       ,    0.00010,  7.19043E+0003,  7.19956E+0003
"l2954357.1"       ,    0.00010,  7.19025E+0003,  7.19956E+0003
"m1069438.3"       ,    0.00001,  7.41687E+0003,  7.19956E+0003
"l2785530.1"       ,    0.00010,  7.08367E+0003,  7.19956E+0003
"l2822868.1"       ,    0.00010,  7.08315E+0003,  7.19956E+0003
"m1069556.1"       ,    0.00008,  6.91804E+0003,  7.19956E+0003
"m1069556.2"       ,    0.00005,  7.34472E+0003,  7.19956E+0003
"n1139264.1"       ,    0.00010,  7.21505E+0003,  7.19956E+0003
"p827523.3"        ,    0.00001,  7.39282E+0003,  7.19956E+0003
"m1027087.1"       ,    0.00011,  7.03582E+0003,  7.19956E+0003
"l2726983.1"       ,    0.00011,  7.03558E+0003,  7.19956E+0003
"l2821087.1"       ,    0.00005,  6.80780E+0003,  7.19956E+0003
"l2673310.1"       ,    0.00005,  7.18639E+0003,  7.19956E+0003
"l2936212.1"       ,    0.00005,  6.77496E+0003,  7.19956E+0003
"n1142106.2"       ,    0.00004,  7.45861E+0003,  7.19956E+0003
"l2936213.2"       ,    0.00004,  7.45850E+0003,  7.19956E+0003
"m1027011.1"       ,    0.00010,  7.06156E+0003,  7.19956E+0003
"m1027011.2"       ,    0.00006,  7.69112E+0003,  7.19956E+0003
"m1027011.3"       ,    0.00001,  7.43645E+0003,  7.19956E+0003
"m1209795.3"       ,    0.00000,  7.52790E+0003,  7.19956E+0003
"l2746587.3"       ,    0.00001,  7.47903E+0003,  7.19956E+0003
"n1147858.3"       ,    0.00001,  7.47872E+0003,  7.19956E+0003
"m1108378.1"       ,    0.00005,  6.81423E+0003,  7.19956E+0003
"m1026662.3"       ,    0.00001,  7.37092E+0003,  7.19956E+0003
"m1047809.2"       ,    0.00006,  7.54265E+0003,  7.19956E+0003
"m1026805.1"       ,    0.00010,  7.16417E+0003,  7.19956E+0003
"l3120502.1"       ,    0.00010,  7.16314E+0003,  7.19956E+0003
"m1069526.2"       ,    0.00005,  7.31308E+0003,  7.19956E+0003
"l2673331.2"       ,    0.00005,  7.31294E+0003,  7.19956E+0003
"m1108490.1"       ,    0.00006,  6.75339E+0003,  7.19956E+0003
"m1108490.2"       ,    0.00003,  7.05983E+0003,  7.19956E+0003
"m1108490.3"       ,    0.00001,  7.47189E+0003,  7.19956E+0003
"m1009805.1"       ,    0.00010,  7.10839E+0003,  7.19956E+0003
"m1009805.2"       ,    0.00006,  7.68026E+0003,  7.19956E+0003
"m1009805.3"       ,    0.00001,  7.47807E+0003,  7.19956E+0003
"l3122816.1"       ,    0.00010,  7.13059E+0003,  7.19956E+0003
"l3122816.2"       ,    0.00006,  7.71856E+0003,  7.19956E+0003
"l3122816.3"       ,    0.00001,  7.48237E+0003,  7.19956E+0003
"l3160103.1"       ,    0.00010,  7.10571E+0003,  7.19956E+0003
"l3160103.2"       ,    0.00006,  7.70842E+0003,  7.19956E+0003
"l3160103.3"       ,    0.00001,  7.46945E+0003,  7.19956E+0003
"m1069503.1"       ,    0.00008,  6.92378E+0003,  7.19956E+0003
"m1069503.2"       ,    0.00005,  7.35752E+0003,  7.19956E+0003
"m1069503.3"       ,    0.00001,  7.57603E+0003,  7.19956E+0003
"n1134469.1"       ,    0.00011,  7.01331E+0003,  7.19956E+0003
"m1089200.1"       ,    0.00007,  7.00763E+0003,  7.19956E+0003
"l3027670.2"       ,    0.00003,  7.06459E+0003,  7.19956E+0003
"l2691941.3"       ,    0.00001,  7.40724E+0003,  7.19956E+0003
"m1125960.1"       ,    0.00005,  6.94331E+0003,  7.19956E+0003
"m1125960.2"       ,    0.00003,  7.14428E+0003,  7.19956E+0003
"m1125960.3"       ,    0.00001,  7.47111E+0003,  7.19956E+0003
"n1136367.1"       ,    0.00008,  6.88418E+0003,  7.19956E+0003
"n1136367.2"       ,    0.00005,  7.34579E+0003,  7.19956E+0003
"n1136367.3"       ,    0.00001,  7.57037E+0003,  7.19956E+0003
"m1069515.1"       ,    0.00008,  6.87609E+0003,  7.19956E+0003
"m1069515.2"       ,    0.00005,  7.34160E+0003,  7.19956E+0003
"m1069515.3"       ,    0.00001,  7.56741E+0003,  7.19956E+0003
"m1069131.1"       ,    0.00005,  7.11106E+0003,  7.19956E+0003
"p827534.1"        ,    0.00005,  7.11100E+0003,  7.19956E+0003
"m1069530.2"       ,    0.00005,  7.31318E+0003,  7.19956E+0003
"m1069189.1"       ,    0.00005,  7.23576E+0003,  7.19956E+0003
"m1069189.2"       ,    0.00003,  7.35602E+0003,  7.19956E+0003
"m1069184.1"       ,    0.00005,  7.23237E+0003,  7.19956E+0003
"m1069184.2"       ,    0.00003,  7.35323E+0003,  7.19956E+0003
"m1069184.3"       ,    0.00001,  7.39800E+0003,  7.19956E+0003
"l3159645.1"       ,    0.00010,  7.25663E+0003,  7.19956E+0003
"m1069632.2"       ,    0.00005,  7.26372E+0003,  7.19956E+0003
"p829957.3"        ,    0.00000,  7.53559E+0003,  7.19956E+0003
"l3160863.3"       ,    0.00000,  7.52463E+0003,  7.19956E+0003
"p829963.2"        ,    0.00002,  7.19643E+0003,  7.19956E+0003
"m1010014.1"       ,    0.00011,  7.00652E+0003,  7.19956E+0003
"n1137998.3"       ,    0.00001,  7.49537E+0003,  7.19956E+0003
"l3048199.2"       ,    0.00006,  7.52468E+0003,  7.19956E+0003
"l3067478.1"       ,    0.00005,  6.84459E+0003,  7.19956E+0003
"l3067478.2"       ,    0.00003,  7.09877E+0003,  7.19956E+0003
"l3067478.3"       ,    0.00001,  7.47259E+0003,  7.19956E+0003
"m1125994.1"       ,    0.00005,  6.82930E+0003,  7.19956E+0003
"m1125994.2"       ,    0.00003,  7.09213E+0003,  7.19956E+0003
"m1125994.3"       ,    0.00001,  7.47301E+0003,  7.19956E+0003
"m1047480.1"       ,    0.00010,  7.22270E+0003,  7.19956E+0003
"m1047480.2"       ,    0.00006,  7.70873E+0003,  7.19956E+0003
"m1047480.3"       ,    0.00001,  7.43687E+0003,  7.19956E+0003
"m1069483.1"       ,    0.00010,  7.22150E+0003,  7.19956E+0003
"m1069483.2"       ,    0.00006,  7.70203E+0003,  7.19956E+0003
"m1069483.3"       ,    0.00001,  7.43324E+0003,  7.19956E+0003
"l2841615.1"       ,    0.00010,  7.18299E+0003,  7.19956E+0003
"l2673305.2"       ,    0.00003,  7.39737E+0003,  7.19956E+0003
"m1047721.1"       ,    0.00008,  6.86236E+0003,  7.19956E+0003
"m1026366.1"       ,    0.00005,  6.96390E+0003,  7.19956E+0003
"l3104131.1"       ,    0.00005,  6.96176E+0003,  7.19956E+0003
"l2973167.1"       ,    0.00010,  7.09580E+0003,  7.19956E+0003
"l2973167.2"       ,    0.00006,  7.76741E+0003,  7.19956E+0003
"l2973167.3"       ,    0.00001,  7.39086E+0003,  7.19956E+0003
"m1027055.1"       ,    0.00010,  7.04734E+0003,  7.19956E+0003
"n1134475.1"       ,    0.00007,  6.95287E+0003,  7.19956E+0003
"n1134475.2"       ,    0.00004,  7.37148E+0003,  7.19956E+0003
"n1134475.3"       ,    0.00001,  7.57393E+0003,  7.19956E+0003
"l3067447.1"       ,    0.00005,  6.77498E+0003,  7.19956E+0003
"m1108350.3"       ,    0.00001,  7.34978E+0003,  7.19956E+0003
"l3139598.2"       ,    0.00003,  7.17114E+0003,  7.19956E+0003
"n1140829.3"       ,    0.00001,  7.38087E+0003,  7.19956E+0003
"l3085397.2"       ,    0.00006,  7.55246E+0003,  7.19956E+0003
"n1139540.1"       ,    0.00005,  7.20287E+0003,  7.19956E+0003
"l2748140.1"       ,    0.00010,  7.08425E+0003,  7.19956E+0003
"l3141412.1"       ,    0.00010,  7.08414E+0003,  7.19956E+0003
"m1069619.2"       ,    0.00005,  7.27557E+0003,  7.19956E+0003
"m1047769.2"       ,    0.00006,  7.57882E+0003,  7.19956E+0003
"l3197632.2"       ,    0.00006,  7.57858E+0003,  7.19956E+0003
"l2785524.3"       ,    0.00001,  7.38007E+0003,  7.19956E+0003
"p827495.2"        ,    0.00003,  7.15150E+0003,  7.19956E+0003
"l2991921.3"       ,    0.00001,  7.36680E+0003,  7.19956E+0003
"l2710510.3"       ,    0.00001,  7.39427E+0003,  7.19956E+0003
"l3197628.3"       ,    0.00001,  7.39411E+0003,  7.19956E+0003
"n1140831.3"       ,    0.00001,  7.37083E+0003,  7.19956E+0003
"n1136358.3"       ,    0.00001,  7.58527E+0003,  7.19956E+0003
"l3104119.1"       ,    0.00010,  7.22255E+0003,  7.19956E+0003
"l2842329.3"       ,    0.00001,  7.47067E+0003,  7.19956E+0003
"m1125961.3"       ,    0.00001,  7.47104E+0003,  7.19956E+0003
"l2973791.1"       ,    0.00005,  6.80336E+0003,  7.19956E+0003
"l2973791.2"       ,    0.00003,  7.08133E+0003,  7.19956E+0003
"l2973791.3"       ,    0.00001,  7.47238E+0003,  7.19956E+0003
"l3179650.1"       ,    0.00005,  6.79512E+0003,  7.19956E+0003
"l3179650.2"       ,    0.00003,  7.07784E+0003,  7.19956E+0003
"l3179650.3"       ,    0.00001,  7.47228E+0003,  7.19956E+0003
"p860843.3"        ,    0.00001,  7.43114E+0003,  7.19956E+0003
"m1026961.1"       ,    0.00010,  7.08646E+0003,  7.19956E+0003
"l2710516.1"       ,    0.00010,  7.08572E+0003,  7.19956E+0003
"l3160864.2"       ,    0.00002,  7.21583E+0003,  7.19956E+0003
"m1108378.2"       ,    0.00003,  7.07576E+0003,  7.19956E+0003
"m1108378.3"       ,    0.00001,  7.47128E+0003,  7.19956E+0003
"m1047623.1"       ,    0.00008,  6.80690E+0003,  7.19956E+0003
"l2748157.1"       ,    0.00008,  6.80666E+0003,  7.19956E+0003
"l3048212.1"       ,    0.00010,  7.19137E+0003,  7.19956E+0003
"l3122824.1"       ,    0.00005,  6.96381E+0003,  7.19956E+0003
"l2879089.3"       ,    0.00001,  7.40856E+0003,  7.19956E+0003
"l2937757.3"       ,    0.00000,  7.43833E+0003,  7.19956E+0003
"l3067448.3"       ,    0.00000,  7.43802E+0003,  7.19956E+0003
"193-46661.3"      ,    0.00001,  7.52873E+0003,  7.19956E+0003
"m1069390.1"       ,    0.00010,  7.19516E+0003,  7.19956E+0003
"l2897801.1"       ,    0.00010,  7.19441E+0003,  7.19956E+0003
"m1108527.2"       ,    0.00004,  7.45834E+0003,  7.19956E+0003
"m1009650.1"       ,    0.00010,  7.08105E+0003,  7.19956E+0003
"m1009650.2"       ,    0.00006,  7.76710E+0003,  7.19956E+0003
"m1009650.3"       ,    0.00001,  7.36775E+0003,  7.19956E+0003
"e203026.1"        ,    0.00010,  7.08105E+0003,  7.19956E+0003
"e203026.2"        ,    0.00006,  7.76710E+0003,  7.19956E+0003
"e203026.3"        ,    0.00001,  7.36775E+0003,  7.19956E+0003
"m1026779.1"       ,    0.00010,  7.08271E+0003,  7.19956E+0003
"l2973169.1"       ,    0.00010,  7.08261E+0003,  7.19956E+0003
"m1026953.2"       ,    0.00006,  7.70407E+0003,  7.19956E+0003
"q14734.1"         ,    0.00006,  7.13816E+0003,  7.19956E+0003
"q14734.2"         ,    0.00004,  7.46327E+0003,  7.19956E+0003
"q14734.3"         ,    0.00001,  7.56566E+0003,  7.19956E+0003
"l3197631.1"       ,    0.00010,  7.25125E+0003,  7.19956E+0003
"l2748127.1"       ,    0.00010,  7.25117E+0003,  7.19956E+0003
"m1209814.1"       ,    0.00001,  7.51996E+0003,  7.19956E+0003
"m1209814.2"       ,    0.00000,  7.52402E+0003,  7.19956E+0003
"m1209814.3"       ,    0.00000,  7.55640E+0003,  7.19956E+0003
"m1209811.1"       ,    0.00001,  7.50575E+0003,  7.19956E+0003
"m1209811.2"       ,    0.00000,  7.51279E+0003,  7.19956E+0003
"m1209811.3"       ,    0.00000,  7.55233E+0003,  7.19956E+0003
"l2729408.2"       ,    0.00006,  7.72288E+0003,  7.19956E+0003
"l3048228.3"       ,    0.00001,  7.32512E+0003,  7.19956E+0003
"l2991940.3"       ,    0.00001,  7.32502E+0003,  7.19956E+0003
"m1108395.1"       ,    0.00005,  6.80315E+0003,  7.19956E+0003
"m1108395.2"       ,    0.00003,  7.06175E+0003,  7.19956E+0003
"m1108395.3"       ,    0.00001,  7.46323E+0003,  7.19956E+0003
"l2728247.1"       ,    0.00005,  6.80306E+0003,  7.19956E+0003
"l2728247.2"       ,    0.00003,  7.06152E+0003,  7.19956E+0003
"l2728247.3"       ,    0.00001,  7.46318E+0003,  7.19956E+0003
"l2804271.2"       ,    0.00005,  7.31351E+0003,  7.19956E+0003
"l2916234.1"       ,    0.00010,  7.04189E+0003,  7.19956E+0003
"l2673316.1"       ,    0.00004,  6.96297E+0003,  7.19956E+0003
"n1138607.1"       ,    0.00010,  7.20160E+0003,  7.19956E+0003
"n1138607.2"       ,    0.00006,  7.60866E+0003,  7.19956E+0003
"n1138607.3"       ,    0.00001,  7.38644E+0003,  7.19956E+0003
"l3159448.1"       ,    0.00010,  7.20220E+0003,  7.19956E+0003
"l3159448.2"       ,    0.00006,  7.60827E+0003,  7.19956E+0003
"l3159448.3"       ,    0.00001,  7.38443E+0003,  7.19956E+0003
"l3048890.3"       ,    0.00000,  7.38755E+0003,  7.19956E+0003
"m1166402.3"       ,    0.00000,  7.38645E+0003,  7.19956E+0003
"l3010563.1"       ,    0.00010,  7.08800E+0003,  7.19956E+0003
"l2841623.1"       ,    0.00010,  7.08793E+0003,  7.19956E+0003
"m1125940.2"       ,    0.00002,  7.21533E+0003,  7.19956E+0003
"l2991908.1"       ,    0.00010,  7.23221E+0003,  7.19956E+0003
"l3178973.1"       ,    0.00010,  7.23204E+0003,  7.19956E+0003
"m1047826.2"       ,    0.00006,  7.51732E+0003,  7.19956E+0003
"m1047767.2"       ,    0.00006,  7.57900E+0003,  7.19956E+0003
"l2879068.2"       ,    0.00006,  7.57326E+0003,  7.19956E+0003
"m1026844.1"       ,    0.00010,  7.12602E+0003,  7.19956E+0003
"m1026844.2"       ,    0.00006,  7.68904E+0003,  7.19956E+0003
"l3066819.1"       ,    0.00005,  7.03097E+0003,  7.19956E+0003
"l3104853.3"       ,    0.00001,  7.46765E+0003,  7.19956E+0003
"221-311359.1"     ,    0.00002,  7.32873E+0003,  7.19956E+0003
"221-311359.2"     ,    0.00001,  7.37805E+0003,  7.19956E+0003
"221-311359.3"     ,    0.00000,  7.50610E+0003,  7.19956E+0003
"l3234149.1"       ,    0.00002,  7.32840E+0003,  7.19956E+0003
"l3234149.2"       ,    0.00001,  7.37765E+0003,  7.19956E+0003
"l3234149.3"       ,    0.00000,  7.50568E+0003,  7.19956E+0003
"n1139537.1"       ,    0.00005,  7.07216E+0003,  7.19956E+0003
"l2673346.1"       ,    0.00005,  7.03163E+0003,  7.19956E+0003
"l2673346.2"       ,    0.00003,  7.13548E+0003,  7.19956E+0003
"l2673346.3"       ,    0.00001,  7.37554E+0003,  7.19956E+0003
"l3254210.3"       ,    0.00001,  7.39442E+0003,  7.19956E+0003
"l2955005.2"       ,    0.00003,  7.11741E+0003,  7.19956E+0003
"m1108372.2"       ,    0.00003,  7.11724E+0003,  7.19956E+0003
"l2936268.3"       ,    0.00000,  7.52780E+0003,  7.19956E+0003
"l2688692.1"       ,    0.00004,  7.01833E+0003,  7.19956E+0003
"l2688692.2"       ,    0.00002,  7.06753E+0003,  7.19956E+0003
"l2688692.3"       ,    0.00001,  7.35168E+0003,  7.19956E+0003
"m1108286.1"       ,    0.00004,  7.01755E+0003,  7.19956E+0003
"m1108286.2"       ,    0.00002,  7.06672E+0003,  7.19956E+0003
"m1108286.3"       ,    0.00001,  7.35108E+0003,  7.19956E+0003
"l2804247.2"       ,    0.00003,  6.94643E+0003,  7.19956E+0003
"m1047744.1"       ,    0.00010,  7.21121E+0003,  7.19956E+0003
"l3178971.1"       ,    0.00010,  7.21121E+0003,  7.19956E+0003
"l3728040.1"       ,    0.00010,  7.22121E+0003,  7.19956E+0003
"l3728041.1"       ,    0.00010,  7.22115E+0003,  7.19956E+0003
"m1069509.1"       ,    0.00008,  6.91755E+0003,  7.19956E+0003
"m1069509.2"       ,    0.00005,  7.35590E+0003,  7.19956E+0003
"m1069509.3"       ,    0.00001,  7.57537E+0003,  7.19956E+0003
"l2766738.1"       ,    0.00008,  6.91123E+0003,  7.19956E+0003
"l2766738.2"       ,    0.00005,  7.35426E+0003,  7.19956E+0003
"l2766738.3"       ,    0.00001,  7.57469E+0003,  7.19956E+0003
"l3104128.1"       ,    0.00004,  6.97996E+0003,  7.19956E+0003
"l2673315.1"       ,    0.00004,  6.97914E+0003,  7.19956E+0003
"l3047289.1"       ,    0.00004,  6.98094E+0003,  7.19956E+0003
"l3047289.2"       ,    0.00002,  7.02846E+0003,  7.19956E+0003
"l3047289.3"       ,    0.00001,  7.32288E+0003,  7.19956E+0003
"l2785516.2"       ,    0.00003,  7.38964E+0003,  7.19956E+0003
"l3048963.2"       ,    0.00002,  7.21527E+0003,  7.19956E+0003
"d5799561-2_int.1" ,    0.00004,  7.12861E+0003,  7.19956E+0003
"d5799561-2_int.2" ,    0.00002,  7.23478E+0003,  7.19956E+0003
"d5799561-2_int.3" ,    0.00001,  7.47148E+0003,  7.19956E+0003
"m1069199.3"       ,    0.00001,  7.38815E+0003,  7.19956E+0003
"l2785525.3"       ,    0.00001,  7.38802E+0003,  7.19956E+0003
"l3198356.3"       ,    0.00001,  7.34955E+0003,  7.19956E+0003
"l3197641.1"       ,    0.00010,  7.18553E+0003,  7.19956E+0003
"l2973161.1"       ,    0.00010,  7.18520E+0003,  7.19956E+0003
"e183493.1"        ,    0.00004,  7.12400E+0003,  7.19956E+0003
"e183493.2"        ,    0.00002,  7.18904E+0003,  7.19956E+0003
"e183493.3"        ,    0.00001,  7.43834E+0003,  7.19956E+0003
"m1125902.1"       ,    0.00004,  7.12405E+0003,  7.19956E+0003
"m1125902.2"       ,    0.00002,  7.18659E+0003,  7.19956E+0003
"m1125902.3"       ,    0.00001,  7.43620E+0003,  7.19956E+0003
"l3085402.1"       ,    0.00005,  6.95496E+0003,  7.19956E+0003
"m1026394.1"       ,    0.00005,  6.95482E+0003,  7.19956E+0003
"m1047768.2"       ,    0.00006,  7.57953E+0003,  7.19956E+0003
"p827554.2"        ,    0.00006,  7.57929E+0003,  7.19956E+0003
"l2991909.1"       ,    0.00010,  7.15169E+0003,  7.19956E+0003
"m1026736.2"       ,    0.00006,  7.51103E+0003,  7.19956E+0003
"m1026986.1"       ,    0.00010,  7.07771E+0003,  7.19956E+0003
"m1026986.2"       ,    0.00006,  7.69726E+0003,  7.19956E+0003
"m1026986.3"       ,    0.00001,  7.45031E+0003,  7.19956E+0003
"m1026997.1"       ,    0.00010,  7.07387E+0003,  7.19956E+0003
"m1026997.2"       ,    0.00006,  7.69511E+0003,  7.19956E+0003
"m1026997.3"       ,    0.00001,  7.44636E+0003,  7.19956E+0003
"m4118755.1"       ,    0.00002,  7.42676E+0003,  7.19956E+0003
"m1026978.1"       ,    0.00010,  7.08143E+0003,  7.19956E+0003
"m1026978.2"       ,    0.00006,  7.69934E+0003,  7.19956E+0003
"m1026978.3"       ,    0.00001,  7.45413E+0003,  7.19956E+0003
"m1026979.1"       ,    0.00010,  7.08131E+0003,  7.19956E+0003
"m1026979.2"       ,    0.00006,  7.69927E+0003,  7.19956E+0003
"m1026979.3"       ,    0.00001,  7.45401E+0003,  7.19956E+0003
"l3082981.3"       ,    0.00001,  7.28810E+0003,  7.19956E+0003
"l3235275.1"       ,    0.00005,  6.98032E+0003,  7.19956E+0003
"l3235275.2"       ,    0.00003,  7.06213E+0003,  7.19956E+0003
"l3235275.3"       ,    0.00001,  7.37629E+0003,  7.19956E+0003
"m1026347.1"       ,    0.00005,  6.97589E+0003,  7.19956E+0003
"m1026347.2"       ,    0.00003,  7.05650E+0003,  7.19956E+0003
"m1026347.3"       ,    0.00001,  7.37743E+0003,  7.19956E+0003
"m3768670.2"       ,    0.00006,  7.78764E+0003,  7.19956E+0003
"m3768670.3"       ,    0.00001,  7.51648E+0003,  7.19956E+0003
"l2915534.1"       ,    0.00010,  7.20046E+0003,  7.19956E+0003
"l2710519.1"       ,    0.00005,  7.03136E+0003,  7.19956E+0003
"m1026820.1"       ,    0.00010,  7.17213E+0003,  7.19956E+0003
"l3141403.1"       ,    0.00010,  7.17100E+0003,  7.19956E+0003
"l3197633.1"       ,    0.00010,  7.21325E+0003,  7.19956E+0003
"m1069500.1"       ,    0.00008,  6.80774E+0003,  7.19956E+0003
"m1069500.2"       ,    0.00005,  7.30111E+0003,  7.19956E+0003
"m1069500.3"       ,    0.00001,  7.53724E+0003,  7.19956E+0003
"m1069382.1"       ,    0.00010,  7.19760E+0003,  7.19956E+0003
"m1069382.2"       ,    0.00006,  7.61477E+0003,  7.19956E+0003
"m1069382.3"       ,    0.00001,  7.40114E+0003,  7.19956E+0003
"n1147866.1"       ,    0.00010,  7.08426E+0003,  7.19956E+0003
"l2710537.2"       ,    0.00003,  6.95154E+0003,  7.19956E+0003
"m1026935.2"       ,    0.00006,  7.70323E+0003,  7.19956E+0003
"m1108364.3"       ,    0.00001,  7.31651E+0003,  7.19956E+0003
"l2897789.2"       ,    0.00005,  7.26319E+0003,  7.19956E+0003
"m1026466.2"       ,    0.00003,  7.15148E+0003,  7.19956E+0003
"l3160878.3"       ,    0.00001,  7.40661E+0003,  7.19956E+0003
"l2917336.3"       ,    0.00001,  7.40630E+0003,  7.19956E+0003
"m1026977.1"       ,    0.00010,  7.08295E+0003,  7.19956E+0003
"m1026977.2"       ,    0.00006,  7.70024E+0003,  7.19956E+0003
"m1026977.3"       ,    0.00001,  7.45566E+0003,  7.19956E+0003
"p895082.2"        ,    0.00004,  7.45869E+0003,  7.19956E+0003
"l3214112.2"       ,    0.00006,  7.51785E+0003,  7.19956E+0003
"l3160104.2"       ,    0.00006,  7.51612E+0003,  7.19956E+0003
"l2973144.3"       ,    0.00001,  7.38434E+0003,  7.19956E+0003
"l2748152.2"       ,    0.00006,  7.69919E+0003,  7.19956E+0003
"m1108387.1"       ,    0.00005,  6.80366E+0003,  7.19956E+0003
"m1108387.2"       ,    0.00003,  7.06243E+0003,  7.19956E+0003
"m1108387.3"       ,    0.00001,  7.46367E+0003,  7.19956E+0003
"l2955055.2"       ,    0.00002,  7.19147E+0003,  7.19956E+0003
"m1108311.1"       ,    0.00004,  7.12315E+0003,  7.19956E+0003
"m1108311.2"       ,    0.00002,  7.17926E+0003,  7.19956E+0003
"l2991907.1"       ,    0.00005,  7.20005E+0003,  7.19956E+0003
"m1047812.2"       ,    0.00006,  7.53984E+0003,  7.19956E+0003
"m4350438.2"       ,    0.00006,  7.53908E+0003,  7.19956E+0003
"n1142103.1"       ,    0.00006,  6.73291E+0003,  7.19956E+0003
"n1142103.2"       ,    0.00003,  7.05075E+0003,  7.19956E+0003
"n1142103.3"       ,    0.00001,  7.47193E+0003,  7.19956E+0003
"l3104830.1"       ,    0.00006,  6.73153E+0003,  7.19956E+0003
"l3104830.2"       ,    0.00003,  7.05014E+0003,  7.19956E+0003
"l3104830.3"       ,    0.00001,  7.47193E+0003,  7.19956E+0003
"l3197626.3"       ,    0.00001,  7.30242E+0003,  7.19956E+0003
"m1047483.1"       ,    0.00010,  7.22363E+0003,  7.19956E+0003
"m1047483.2"       ,    0.00006,  7.71338E+0003,  7.19956E+0003
"m1047483.3"       ,    0.00001,  7.43943E+0003,  7.19956E+0003
"m4277837.1"       ,    0.00010,  7.20193E+0003,  7.19956E+0003
"m4277837.2"       ,    0.00006,  7.63333E+0003,  7.19956E+0003
"m4277837.3"       ,    0.00001,  7.40804E+0003,  7.19956E+0003
"l3160102.1"       ,    0.00010,  7.13780E+0003,  7.19956E+0003
